iter	Passed	Remaining
457	1063	130
458	1065	127
459	1067	125
460	1069	123
461	1071	120
462	1073	118
463	1075	115
464	1077	113
465	1079	111
466	1081	108
467	1082	106
468	1084	104
469	1087	101
470	1089	99
471	1091	97
472	1093	94
473	1094	92
474	1096	90
475	1099	87
476	1101	85
477	1102	83
478	1104	80
479	1106	78
480	1108	76
481	1111	73
482	1113	71
483	1114	69
484	1116	66
485	1118	64
486	1121	62
487	1123	59
488	1125	57
489	1128	55
490	1130	52
491	1132	50
492	1135	48
493	1137	46
494	1139	43
495	1141	41
496	1143	39
497	1145	36
498	1148	34
499	1150	32
500	1151	29
501	1153	27
502	1156	25
503	1158	22
504	1159	20
505	1162	18
506	1163	16
507	1167	13
508	1168	11
509	1170	9
510	1172	6
511	1174	4
512	1176	2
513	1178	0
